Winkelposition, Messreihe #2
Zeit ( s )	Winkelposition ( rad )
35,8000	-1,704
35,8500	0,146
35,9000	-1,431
35,9500	-1,043
36,0000	-0,014
36,0500	-1,852
36,1000	-0,256
36,1500	-0,697
36,2000	-1,673
36,2500	0,156
36,3000	-1,475
36,3500	-0,993
36,4000	-0,046
36,4500	-1,858
36,5000	-0,217
36,5500	-0,745
36,6000	-1,648
36,6500	0,163
36,7000	-1,510
36,7500	-0,949
36,8000	-0,074
36,8500	-1,863
36,9000	-0,184
36,9500	-0,787
37,0000	-1,619
37,0500	0,163
37,1000	-1,541
37,1500	-0,906
37,2000	-0,102
37,2500	-1,866
37,3000	-0,152
37,3500	-0,836
37,4000	-1,590
37,4500	0,167
37,5000	-1,574
37,5500	-0,859
37,6000	-0,135
37,6500	-1,866
37,7000	-0,116
37,7500	-0,884
37,8000	-1,555
37,8500	0,165
37,9000	-1,607
37,9500	-0,809
38,0000	-0,173
38,0500	-1,863
38,1000	-0,082
38,1500	-0,936
38,2000	-1,516
38,2500	0,162
38,3000	-1,640
38,3500	-0,752
38,4000	-0,214
38,4500	-1,858
38,5000	-0,049
38,5500	-0,993
38,6000	-1,475
38,6500	0,156
38,7000	-1,673
38,7500	-0,701
38,8000	-0,256
38,8500	-1,852
38,9000	-0,014
38,9500	-1,043
39,0000	-1,431
39,0500	0,148
39,1000	-1,704
39,1500	-0,646
39,2000	-0,302
39,2500	-1,843
39,3000	0,016
39,3500	-1,096
39,4000	-1,387
39,4500	0,135
39,5000	-1,729
39,5500	-0,595
39,6000	-0,344
39,6500	-1,833
39,7000	0,038
39,7500	-1,142
39,8000	-1,346
39,8500	0,124
39,9000	-1,753
39,9500	-0,550
40,0000	-0,390
40,0500	-1,819
40,1000	0,060
40,1500	-1,189
40,2000	-1,304
40,2500	0,110
40,3000	-1,773
40,3500	-0,503
40,4000	-0,430
40,4500	-1,803
40,5000	0,082
40,5500	-1,235
40,6000	-1,258
40,6500	0,093
40,7000	-1,792
40,7500	-0,454
40,8000	-0,479
40,8500	-1,783
40,9000	0,102
40,9500	-1,282
41,0000	-1,211
41,0500	0,071
41,1000	-1,811
41,1500	-0,407
41,2000	-0,528
41,2500	-1,761
41,3000	0,118
41,3500	-1,330
41,4000	-1,159
41,4500	0,047
41,5000	-1,827
41,5500	-0,357
41,6000	-0,581
41,6500	-1,737
41,7000	0,134
41,7500	-1,379
41,8000	-1,107
41,8500	0,020
41,9000	-1,839
41,9500	-0,313
42,0000	-0,631
42,0500	-1,712
42,1000	0,146
42,1500	-1,420
42,2000	-1,057
42,2500	-0,005
42,3000	-1,849
42,3500	-0,272
42,4000	-0,679
42,4500	-1,685
42,5000	0,154
42,5500	-1,456
42,6000	-1,013
42,6500	-0,031
42,7000	-1,857
42,7500	-0,236
42,8000	-0,719
42,8500	-1,662
42,9000	0,159
42,9500	-1,488
43,0000	-0,974
43,0500	-0,055
43,1000	-1,861
43,1500	-0,207
43,2000	-0,756
43,2500	-1,640
43,3000	0,163
43,3500	-1,514
43,4000	-0,941
43,4500	-0,075
43,5000	-1,863
43,5500	-0,182
43,6000	-0,790
43,6500	-1,621
43,7000	0,165
43,7500	-1,536
43,8000	-0,911
43,8500	-0,094
43,9000	-1,865
43,9500	-0,165
44,0000	-0,815
44,0500	-1,607
44,1000	0,167
44,1500	-1,552
44,2000	-0,892
44,2500	-0,110
44,3000	-1,865
44,3500	-0,148
44,4000	-0,839
44,4500	-1,588
44,5000	0,165
44,5500	-1,571
44,6000	-0,862
44,6500	-0,130
44,7000	-1,866
44,7500	-0,123
44,8000	-0,875
44,8500	-1,565
44,9000	0,165
44,9500	-1,596
45,0000	-0,825
45,0500	-0,157
45,1000	-1,865
45,1500	-0,099
45,2000	-0,909
45,2500	-1,539
45,3000	0,163
45,3500	-1,619
45,4000	-0,790
45,4500	-0,185
45,5000	-1,863
45,5500	-0,075
45,6000	-0,947
45,6500	-1,511
45,7000	0,162
45,7500	-1,641
45,8000	-0,751
45,8500	-0,212
45,9000	-1,858
45,9500	-0,050
46,0000	-0,986
46,0500	-1,483
46,1000	0,157
46,1500	-1,663
46,2000	-0,716
46,2500	-0,240
46,3000	-1,855
46,3500	-0,031
46,4000	-1,018
46,4500	-1,456
46,5000	0,152
46,5500	-1,682
46,6000	-0,683
46,6500	-0,267
46,7000	-1,850
46,7500	-0,013
46,8000	-1,051
46,8500	-1,428
46,9000	0,146
46,9500	-1,703
47,0000	-0,646
47,0500	-0,298
47,1000	-1,844
47,1500	0,009
47,2000	-1,090
47,2500	-1,393
47,3000	0,138
47,3500	-1,723
47,4000	-0,603
47,4500	-0,336
47,5000	-1,833
47,5500	0,030
47,6000	-1,129
47,6500	-1,362
47,7000	0,129
47,7500	-1,742
47,8000	-0,573
47,8500	-0,363
47,9000	-1,828
47,9500	0,046
48,0000	-1,155
48,0500	-1,338
48,1000	0,123
48,1500	-1,753
48,2000	-0,548
48,2500	-0,383
48,3000	-1,821
48,3500	0,057
48,4000	-1,181
48,4500	-1,315
48,5000	0,113
48,5500	-1,767
48,6000	-0,517
48,6500	-0,413
48,7000	-1,808
48,7500	0,071
48,8000	-1,213
48,8500	-1,286
48,9000	0,102
48,9500	-1,780
49,0000	-0,485
49,0500	-0,445
49,1000	-1,797
49,1500	0,085
49,2000	-1,243
49,2500	-1,255
49,3000	0,093
49,3500	-1,792
49,4000	-0,459
49,4500	-0,470
49,5000	-1,788
49,5500	0,097
49,6000	-1,266
49,6500	-1,232
49,7000	0,083
49,7500	-1,800
49,8000	-0,440
49,8500	-0,489
49,9000	-1,778
49,9500	0,101
50,0000	-1,285
50,0500	-1,216
50,1000	0,074
50,1500	-1,806
50,2000	-0,419
50,2500	-0,512
50,3000	-1,770
50,3500	0,112
50,4000	-1,308
50,4500	-1,189
50,5000	0,061
50,5500	-1,817
50,6000	-0,391
50,6500	-0,542
50,7000	-1,756
50,7500	0,121
50,8000	-1,337
50,8500	-1,156
50,9000	0,046
50,9500	-1,825
51,0000	-0,360
51,0500	-0,573
51,1000	-1,740
51,1500	0,130
51,2000	-1,367
51,2500	-1,126
51,3000	0,031
51,3500	-1,833
51,4000	-0,333
51,4500	-0,603
51,5000	-1,726
51,5500	0,138
51,6000	-1,392
51,6500	-1,093
51,7000	0,014
51,7500	-1,843
51,8000	-0,303
51,8500	-0,639
51,9000	-1,706
51,9500	0,146
52,0000	-1,425
52,0500	-1,056
52,1000	-0,008
52,1500	-1,849
52,2000	-0,270
52,2500	-0,679
52,3000	-1,685
52,3500	0,154
52,4000	-1,458
52,4500	-1,015
52,5000	-0,030
52,5500	-1,855
52,6000	-0,237
52,6500	-0,719
52,7000	-1,662
52,7500	0,160
52,8000	-1,489
52,8500	-0,975
52,9000	-0,057
52,9500	-1,861
53,0000	-0,206
53,0500	-0,759
53,1000	-1,638
53,1500	0,163
53,2000	-1,519
53,2500	-0,935
53,3000	-0,080
53,3500	-1,865
53,4000	-0,176
53,4500	-0,801
53,5000	-1,613
53,5500	0,165
53,6000	-1,547
