#Temperatur, Messreihe #2
#Zeit ( s )	Temperatur ( °C )
132,8000	1,1
133,0000	1,1
133,2000	1,1
133,4000	1,1
133,6000	1,1
133,8000	1,1
134,0000	1,1
134,2000	1,1
134,4000	1,1
134,6000	1,1
134,8000	1,1
135,0000	1,1
135,2000	1,1
135,4000	1,1
135,6000	1,1
135,8000	1,1
136,0000	1,1
136,2000	1,1
136,4000	1,1
136,6000	1,1
136,8000	1,1
137,0000	1,1
137,2000	1,1
137,4000	1,1
137,6000	1,1
137,8000	1,1
138,0000	1,1
138,2000	1,1
138,4000	1,1
138,6000	1,1
138,8000	1,1
139,0000	1,1
139,2000	1,1
139,4000	1,1
139,6000	1,1
139,8000	1,1
140,0000	1,1
140,2000	1,1
140,4000	1,1
140,6000	1,1
140,8000	1,1
141,0000	1,1
141,2000	1,1
141,4000	1,1
141,6000	1,1
141,8000	1,1
142,0000	1,1
142,2000	1,1
142,4000	1,2
142,6000	1,2
142,8000	1,2
143,0000	1,2
143,2000	1,2
143,4000	1,2
143,6000	1,2
143,8000	1,2
144,0000	1,2
144,2000	1,2
144,4000	1,2
144,6000	1,2
144,8000	1,2
145,0000	1,2
145,2000	1,2
145,4000	1,2
145,6000	1,2
145,8000	1,2
146,0000	1,2
146,2000	1,2
146,4000	1,2
146,6000	1,2
146,8000	1,2
147,0000	1,2
147,2000	1,2
147,4000	1,2
147,6000	1,2
147,8000	1,2
148,0000	1,2
148,2000	1,2
148,4000	1,2
148,6000	1,2
148,8000	1,2
149,0000	1,2
149,2000	1,2
149,4000	1,2
149,6000	1,2
149,8000	1,2
150,0000	1,2
150,2000	1,2
150,4000	1,2
150,6000	1,2
150,8000	1,2
151,0000	1,2
151,2000	1,2
151,4000	1,2
151,6000	1,3
151,8000	1,3
152,0000	1,3
152,2000	1,3
152,4000	1,3
152,6000	1,3
152,8000	1,3
153,0000	1,3
153,2000	1,3
153,4000	1,3
153,6000	1,3
153,8000	1,3
154,0000	1,3
154,2000	1,3
154,4000	1,3
154,6000	1,3
154,8000	1,3
155,0000	1,3
155,2000	1,3
155,4000	1,3
155,6000	1,3
155,8000	1,3
156,0000	1,3
156,2000	1,3
156,4000	1,3
156,6000	1,3
156,8000	1,3
157,0000	1,3
157,2000	1,3
157,4000	1,3
157,6000	1,3
157,8000	1,3
158,0000	1,3
158,2000	1,4
158,4000	1,4
